     ,Donor Name                                                                                 ,Type       ,Industry Sector                                                       ,Canonical Industry Sector
5830 ,Vivienne Court Trading Pty Limited                                                         ,company    ,Unknown                                                               ,Unknown
5831 ,Elizabeth Godfrey-Smith                                                                    ,individual ,                                                                      ,
5832 ,Elson Pow and Associates                                                                   ,company    ,Construction/Engineering                                              ,Construction
5833 ,Vocus Group Limited                                                                        ,company    ,Telecommunications                                                    ,Telecommunications
5834 ,Vocus Pty Ltd                                                                              ,company    ,Telecommunications                                                    ,Telecommunications
5835 ,Enid J Fuller                                                                              ,individual ,                                                                      ,
5836 ,Voltex Electrical Pty Ltd                                                                  ,company    ,Electrical manufacturing and distribution.                            ,Manufacturing
5837 ,Ernst and Young (VIC)                                                                      ,company    ,Consulting/Professional services.                                     ,Consulting and Professional Services
5838 ,Vonara Pty Ltd                                                                             ,company    ,Unknown                                                               ,Unknown
5839 ,Vos Nominees Pty Ltd                                                                       ,company    ,Unknown                                                               ,Unknown
5840 ,Voyages Hotels & Resorts ty Ltd                                                            ,company    ,Travel and tourism.                                                   ,Travel and Tourism
5841 ,VSL Prestressing (Aus) Pty Ltd                                                             ,company    ,Construction/Engineering                                              ,Construction
5842 ,Vynaco Pty Ltd                                                                             ,company    ,Unknown                                                               ,Unknown
5843 ,F and E J M Harris                                                                         ,company    ,Unknown                                                               ,Unknown
5844 ,Vynfar Pty Ltd                                                                             ,company    ,Unknown                                                               ,Unknown
5845 ,W Ahrens & Sons Pty Ltd                                                                    ,company    ,Construction or Engineering                                           ,Construction and Engineering
5846 ,W Bracey Sydney Investment Services Pty Ltd                                                ,company    ,Unknown                                                               ,Unknown
5847 ,Ferntree Gully Holden                                                                      ,company    ,Automotive manufacturing/sales                                        ,Automotive
5848 ,W H Bowden Pty Ltd                                                                         ,company    ,Construction/Building                                                 ,Construction
5849 ,WA Stockwell Pty Ltd                                                                       ,company    ,Construction.                                                         ,Construction
5850 ,Waging and Gaming Software Pty Ltd                                                         ,company    ,Gambling and Gaming Software Development                              ,Gambling
5851 ,Wagner Investments Pty Ltd                                                                 ,company    ,Unknown                                                               ,Unknown
5852 ,Free Enterprise Foundation - Liberal Party                                                 ,company    ,Unknown                                                               ,Unknown
5853 ,Freehill Hollingdale and Page (NSW)                                                        ,company    ,Law/Legal Services/Professional Services.                             ,Legal Services
5854 ,Friends of the Pharmaceutical Industry                                                     ,company    ,Unknown                                                               ,Unknown
5855 ,G D Nitschke                                                                               ,individual ,                                                                      ,
5856 ,Walker Corporation Pty Limited                                                             ,company    ,Unknown                                                               ,Unknown
5857 ,Geoffrey B White                                                                           ,individual ,                                                                      ,
5858 ,Geoffrey Lowe                                                                              ,individual ,                                                                      ,
5859 ,George and Bertha Anne Thomas                                                              ,individual ,                                                                      ,
5860 ,George Larcos                                                                              ,individual ,                                                                      ,
5861 ,George Mills                                                                               ,individual ,                                                                      ,
5862 ,Walker Group Holdings Pty Ltd                                                              ,company    ,Unknown                                                               ,Unknown
5863 ,Walker Street Pty Ltd                                                                      ,company    ,Unknown                                                               ,Unknown
5864 ,Gill Kane and Brophy                                                                       ,individual ,                                                                      ,
5865 ,Giorgio J Gjergja                                                                          ,individual ,                                                                      ,
5866 ,Wallace Bishop Arcade Pty Ltd                                                              ,company    ,Retail                                                                ,Retail
5867 ,Wallis Nominees (Computing) Pty Ltd                                                        ,company    ,Unknown                                                               ,Unknown
5868 ,Graeme Croft                                                                               ,individual ,                                                                      ,
5869 ,Graeme Robert Harris                                                                       ,individual ,                                                                      ,
5870 ,Gregory Buckman                                                                            ,individual ,                                                                      ,
5871 ,Walter Construction Group Limited                                                          ,company    ,Construction                                                          ,Construction
5872 ,Harold Clough                                                                              ,individual ,                                                                      ,
5873 ,Walter Construction Group Ltd                                                              ,company    ,Construction and Building Materials                                   ,Construction and Building Materials
5874 ,HB and SD Gordon                                                                           ,company    ,Unknown                                                               ,Unknown
5875 ,Hedley Richard and Doris June Harris                                                       ,individual ,                                                                      ,
5876 ,Hendy John Cowan                                                                           ,individual ,                                                                      ,
5877 ,HID Stevenson                                                                              ,individual ,                                                                      ,
5878 ,Wanda Ridong (Gold Coast) Development Pty Ltd                                              ,company    ,Real Estate/Property Development                                      ,Real Estate Development
5879 ,Waratah Coal Pty Ltd                                                                       ,company    ,Coal mining and energy production                                     ,Mining and Minerals
5880 ,Waratah Group (Australia) Pty Ltd                                                          ,company    ,Agriculture/Farming/Forestry                                          ,Agriculture
5881 ,Warburg Dillon Read Australia Holdings Ltd                                                 ,company    ,Finance and Investments                                               ,Financial Services
5882 ,Hon Jim Scott MLC                                                                          ,individual ,                                                                      ,
5883 ,Hon L J Dawson-Damer                                                                       ,individual ,                                                                      ,
5884 ,Hon Liz Watson MLC                                                                         ,individual ,                                                                      ,
5885 ,Hon Paula Wriedt                                                                           ,individual ,                                                                      ,
5886 ,Warpo Pty Ltd                                                                              ,company    ,Unknown                                                               ,Unknown
5887 ,Warragai Investments Pty Ltd                                                               ,company    ,Unknown                                                               ,Unknown
5888 ,Warrenglen Pty Ltd                                                                         ,company    ,Unknown                                                               ,Unknown
5889 ,Warrior Pty Ltd                                                                            ,company    ,Unknown                                                               ,Unknown
5890 ,Irene Evelyn Lance                                                                         ,individual ,                                                                      ,
5891 ,Irene Miller                                                                               ,individual ,                                                                      ,
5892 ,Warwick Concrete Pty Ltd                                                                   ,company    ,Construction/Building Materials                                       ,Building Materials
5893 ,Izaak M and Maria Visser                                                                   ,individual ,                                                                      ,
5894 ,J and F Lin                                                                                ,individual ,                                                                      ,
5895 ,J F Richardson                                                                             ,individual ,                                                                      ,
5896 ,J J McDonald and Sons                                                                      ,company    ,Construction/Building                                                 ,Construction
5897 ,Warwick Fabrics (Australia) Pty Ltd                                                        ,company    ,Textiles and furnishings.                                             ,Textiles
5898 ,James C S Bowler                                                                           ,individual ,                                                                      ,
5899 ,James Keith Bain                                                                           ,individual ,                                                                      ,
5900 ,James Long                                                                                 ,individual ,                                                                      ,
5901 ,James William Vicars                                                                       ,individual ,                                                                      ,
5902 ,Jan Burnswoods                                                                             ,individual ,                                                                      ,
5903 ,Wash It Australia Pty Ltd                                                                  ,company    ,Unknown                                                               ,Unknown
5904 ,Jane Elizabeth Vicars                                                                      ,individual ,                                                                      ,
5905 ,Jasse Walton                                                                               ,individual ,                                                                      ,
5906 ,Jennifer and Lenard Thieson                                                                ,individual ,                                                                      ,
5907 ,Jennifer Thieson                                                                           ,individual ,                                                                      ,
5908 ,Washington H Soul Pattinson and Company Limited                                            ,company    ,Conglomerate/Investment Holding Company                               ,Conglomerate
5909 ,Wateco Investments Pty Ltd                                                                 ,company    ,Unknown                                                               ,Unknown
5910 ,Jill Elizabeth Dickson                                                                     ,individual ,                                                                      ,
5911 ,Joe Carmody                                                                                ,individual ,                                                                      ,
5912 ,John and Glynas Colley                                                                     ,individual ,                                                                      ,
5913 ,John and Margaret Pickup                                                                   ,individual ,                                                                      ,
5914 ,Water Point Pty Ltd                                                                        ,company    ,Unknown                                                               ,Unknown
5915 ,John Blake                                                                                 ,individual ,                                                                      ,
5916 ,John Brewster                                                                              ,individual ,                                                                      ,
5917 ,Watou Holdings Pty Ltd                                                                     ,company    ,Unknown                                                               ,Unknown
5918 ,John Hartley Poynton                                                                       ,individual ,                                                                      ,
5919 ,Watpac Limited                                                                             ,company    ,Construction/Building                                                 ,Construction
5920 ,John Murray MP                                                                             ,individual ,                                                                      ,
5921 ,John Presser                                                                               ,individual ,                                                                      ,
5922 ,John T Cameron                                                                             ,individual ,                                                                      ,
5923 ,John Vogels                                                                                ,individual ,                                                                      ,
5924 ,John White                                                                                 ,individual ,                                                                      ,
5925 ,Joost Gemeren                                                                              ,individual ,                                                                      ,
5926 ,Katherine Mandas (Nee K Wood)                                                              ,individual ,                                                                      ,
5927 ,Keith Graeme Hamilton                                                                      ,individual ,                                                                      ,
5928 ,Kevin Wienert                                                                              ,individual ,                                                                      ,
5929 ,Watsons Pty Ltd -ATF- New Watsons Survey & Engineering Trust                               ,company    ,Construction/Engineering (specifically land surveying                 ,Construction and Engineering
5930 ,Kylie Mary Laurence                                                                        ,individual ,                                                                      ,
5931 ,L Piccone                                                                                  ,individual ,                                                                      ,
5932 ,WB 2002 Pty Ltd                                                                            ,company    ,Unknown                                                               ,Unknown
5933 ,Lady Buchanan - Della Agnes                                                                ,individual ,                                                                      ,
5934 ,Lady Southey                                                                               ,individual ,                                                                      ,
5935 ,Weebin Pty Limited                                                                         ,company    ,Unknown                                                               ,Unknown
5936 ,Wei Wah International Trading Pty Ltd                                                      ,company    ,Unknown                                                               ,Unknown
5937 ,Legends Nightclub                                                                          ,company    ,Entertainment/nightlife.                                              ,Entertainment
5938 ,Weiss Art Pty Ltd                                                                          ,company    ,Art and Design.                                                       ,Art and Design
5939 ,Wellard Group Holdings Pty Ltd                                                             ,company    ,Unknown                                                               ,Unknown
5940 ,Les Cromb                                                                                  ,individual ,                                                                      ,
5941 ,Lewis Haroon                                                                               ,individual ,                                                                      ,
5942 ,Liberal Party of Australia (NSW) Vaucluse Division                                         ,individual ,                                                                      ,
5943 ,Louise Lowe                                                                                ,individual ,                                                                      ,
5944 ,Wembley Lakes Estates Two Pty Ltd                                                          ,company    ,Real estate/property development.                                     ,Real Estate
5945 ,Lynas Gold NL                                                                              ,company    ,Unknown                                                               ,Unknown
5946 ,M and H Abeles                                                                             ,individual ,                                                                      ,
5947 ,M Fitzpatrick and N Sykes                                                                  ,individual ,                                                                      ,
5948 ,M Lichtenstein                                                                             ,individual ,                                                                      ,
5949 ,Were Stockbroking Ltd                                                                      ,company    ,Financial services - specifically stockbroking                        ,Financial Services
5950 ,Malcolm Kerr                                                                               ,individual ,                                                                      ,
5951 ,Wernbat Pty Ltd T/a Albion Hotel                                                           ,company    ,Hospitality/Hotel                                                     ,Hospitality
5952 ,Mandarin Public Relations                                                                  ,company    ,Unknown                                                               ,Unknown
5953 ,Wesfarmers Limited                                                                         ,company    ,Unknown                                                               ,Unknown
5954 ,Margaret Ratcliffe                                                                         ,individual ,                                                                      ,
5955 ,Margery Isabel Pierce                                                                      ,individual ,                                                                      ,
5956 ,Maria Forbes                                                                               ,individual ,                                                                      ,
5957 ,Mario Calanna                                                                              ,individual ,                                                                      ,
5958 ,Maritime Union of Australia (HO)                                                           ,company    ,Trade Union/Labor relations/Shipping and Maritime                     ,Trade Union and Shipping
5959 ,Maritime Union of Australia (SA)                                                           ,company    ,Trade Union/Labor relations/Shipping and Maritime                     ,Trade Union and Shipping
5960 ,Maritime Union of Australia (VIC)                                                          ,company    ,Trade Union/Labor relations/Shipping and Maritime                     ,Trade Union and Shipping
5961 ,Maroulis Engineering Consultants                                                           ,company    ,Unknown                                                               ,Unknown
5962 ,Westan Pty Ltd                                                                             ,company    ,Unknown                                                               ,Unknown
5963 ,Maurice Alter                                                                              ,individual ,                                                                      ,
5964 ,Max Beck and Michael Buxton                                                                ,individual ,                                                                      ,
5965 ,Western Wholesalers Pty Ltd                                                                ,company    ,Wholesale/Distribution                                                ,Wholesale
5966 ,Westfield Capital Corporation Limited                                                      ,company    ,Unknown                                                               ,Unknown
5967 ,Michael Aaronson                                                                           ,individual ,                                                                      ,
5968 ,Michaela Drake                                                                             ,individual ,                                                                      ,
5969 ,Middle Point Farm                                                                          ,company    ,Agriculture/Farming                                                   ,Agriculture
5970 ,Middletons Moore and Bevins                                                                ,company    ,Professional services (specifically legal services)                   ,Professional Services
5971 ,Mills Sign and Painting Service                                                            ,company    ,Construction sign and painting services                               ,Construction
5972 ,Miriam and Philip Zajac                                                                    ,individual ,                                                                      ,
5973 ,Westfield Corporation Limited                                                              ,company    ,Real Estate/Property/Business/Shopping Center                         ,Real Estate
5974 ,Westfield Design and Construction Pty Limited                                              ,company    ,Unknown                                                               ,Unknown
5975 ,Monteath Properties                                                                        ,company    ,Unknown                                                               ,Unknown
5976 ,Mr and Mrs J F Hiller                                                                      ,individual ,                                                                      ,
5977 ,Westminster Development Pty Ltd                                                            ,company    ,Unknown                                                               ,Unknown
5978 ,Westpoint Corporation Pty Ltd                                                              ,company    ,Real estate/property development                                      ,Real Estate Development
5979 ,Murray Barber                                                                              ,company    ,Unknown                                                               ,Unknown
5980 ,WesTrac Pty Ltd                                                                            ,company    ,Construction/Heavy Machinery                                          ,Construction
5981 ,WFM Motors Pty Limited                                                                     ,company    ,Automotive/Transportation                                             ,Automotive
5982 ,National Amusement Machine Operators Association                                           ,company    ,Entertainment industry                                                ,Entertainment
5983 ,WFM Motors Pty Ltd T/A City Ford                                                           ,company    ,Automotive/Car Manufacturer and Dealership                            ,Automotive
5984 ,National Union of Workers - SA Branch                                                      ,company    ,Labor Union                                                           ,Labor Union
5985 ,WG Admin Pty Ltd                                                                           ,company    ,Unknown                                                               ,Unknown
5986 ,Wheelton Investments Pty Ltd                                                               ,company    ,Unknown                                                               ,Unknown
5987 ,Whinners Pty Ltd                                                                           ,company    ,Unknown                                                               ,Unknown
5988 ,NSW Taxi Industry Association                                                              ,company    ,Transportation/Transport industry (specifically related               ,Transportation
5989 ,White Energy Company Limited                                                               ,company    ,Unknown                                                               ,Unknown
5990 ,White Internet Pty Limited                                                                 ,company    ,Technology/Internet                                                   ,Technology
5991 ,White Mining Limited                                                                       ,company    ,Mining                                                                ,Mining and Minerals
5992 ,Whitehaven Coal Limited                                                                    ,company    ,Energy and Natural Resources/Mining                                   ,Mining and Minerals
5993 ,Wilbow Corporation Pty Ltd                                                                 ,individual ,                                                                      ,
5994 ,Wilcrow Pty Ltd                                                                            ,company    ,Unknown                                                               ,Unknown
5995 ,Wild Family Nominees Pty Ltd                                                               ,company    ,Unknown                                                               ,Unknown
5996 ,Wild Game Resources Pty Ltd                                                                ,company    ,Unknown                                                               ,Unknown
5997 ,Wilem Pty Ltd                                                                              ,company    ,Unknown                                                               ,Unknown
5998 ,P Smith                                                                                    ,individual ,                                                                      ,
5999 ,Wilispa Pty Ltd                                                                            ,company    ,Unknown                                                               ,Unknown
6000 ,William Taylor Nominees Pty Ltd                                                            ,company    ,Unknown                                                               ,Unknown
6001 ,Patricia Campbell Jones                                                                    ,individual ,                                                                      ,
6002 ,Paul Henry Calvert                                                                         ,individual ,                                                                      ,
6003 ,Paul John Acfield                                                                          ,individual ,                                                                      ,
6004 ,Willimbury Pty Limited                                                                     ,company    ,Unknown                                                               ,Unknown
6005 ,Peter and Kerry Corish                                                                     ,individual ,                                                                      ,
6006 ,Peter Frank and Barbara Maxine Hinchliffe                                                  ,company    ,Unknown                                                               ,Unknown
6007 ,Peter Gavin Monley                                                                         ,individual ,                                                                      ,
6008 ,Peter Hunt Architect                                                                       ,company    ,Architecture/Building/Construction                                    ,Architecture and Construction
6009 ,Peter Thurley                                                                              ,individual ,                                                                      ,
6010 ,Peter Wood                                                                                 ,individual ,                                                                      ,
6011 ,Peter Yang                                                                                 ,individual ,                                                                      ,
6012 ,Willow Corporation Pty Ltd                                                                 ,company    ,Retail                                                                ,Retail
6013 ,Port Macquarie Medical Imaging                                                             ,company    ,Healthcare/Medical imaging                                            ,Healthcare
6014 ,Ports 2000                                                                                 ,company    ,Unknown                                                               ,Unknown
6015 ,Wilmar Sugar Pty Limited                                                                   ,company    ,Sugar production/processing/agribusiness.                             ,Agriculture
6016 ,Wilson Parking Australia 1992 Pty Ltd                                                      ,company    ,Unknown                                                               ,Unknown
6017 ,Wilzed Pty Ltd                                                                             ,company    ,Unknown                                                               ,Unknown
6018 ,Win Kwong Pty Ltd                                                                          ,company    ,Construction/Engineering/Manufacturing                                ,"Construction, Engineering, and Manufacturing"
6019 ,Probity International                                                                      ,company    ,Unknown                                                               ,Unknown
6020 ,Windaroo Golf Club Ltd                                                                     ,company    ,Leisure/Sports Industry                                               ,Leisure and Sports
6021 ,Windle Pty Ltd                                                                             ,company    ,Unknown                                                               ,Unknown
6022 ,Windward AB Pty Ltd                                                                        ,company    ,Unknown                                                               ,Unknown
6023 ,Wingate Properties Pty Ltd                                                                 ,company    ,Real estate                                                           ,Real Estate
6024 ,Purity and Roelf Vos Supermarkets                                                          ,company    ,Retail/Food and Drink.                                                ,Retail
6025 ,Winning Appliances Pty Ltd                                                                 ,company    ,The industry sector for Winning Appliances Pty Ltd is RET             ,Unknown
6026 ,R B Fairclough                                                                             ,individual ,                                                                      ,
6027 ,Winslow Constructors Pty Ltd                                                               ,company    ,Construction/Engineering                                              ,Construction
6028 ,R J Fletcher and Co                                                                        ,company    ,Unknown                                                               ,Unknown
6029 ,Withnall Cavanagh & Co. Pty Ltd                                                            ,company    ,Accounting and financial services                                     ,Accounting and Financial Services
6030 ,Wizard Home Loans Pty Ltd                                                                  ,company    ,Finance and Mortgage Lending                                          ,Financial Services
6031 ,WM Projects Pty Ltd (formerly ATOZ (Aust) Pty Ltd)                                         ,individual ,                                                                      ,
6032 ,WMC Ltd                                                                                    ,company    ,Mining and Resources                                                  ,Mining and Minerals
6033 ,Woden Contractors Pty Ltd                                                                  ,company    ,Construction/Building industry                                        ,Construction
6034 ,Wolfe Civil Pty ltd                                                                        ,company    ,Unknown                                                               ,Unknown
6035 ,Robert Graham Cameron                                                                      ,individual ,                                                                      ,
6036 ,Wonteco Pty Ltd ATF Plunkett Wontee Trust                                                  ,company    ,Unknown                                                               ,Unknown
6037 ,Ronald Keith Ireland                                                                       ,individual ,                                                                      ,
6038 ,Woodgate Research Pty Ltd                                                                  ,company    ,Unknown                                                               ,Unknown
6039 ,Woodside Energy Group Ltd                                                                  ,company    ,Energy/Oil and Gas                                                    ,Energy
6040 ,Senator Shayne Murphy                                                                      ,individual ,                                                                      ,
6041 ,Sheila Roberts                                                                             ,individual ,                                                                      ,
6042 ,Woolworths Group Limited                                                                   ,company    ,Retail/Food and Supermarkets                                          ,Retail
6043 ,Shop Distributive and Allied Employees Association                                         ,company    ,Labor Union/Trade Union                                               ,Labor Union
6044 ,Shop Distributive and Allied Employees Association - QLD Branch                            ,company    ,Labor Union/Trade Union                                               ,Labor Union
6045 ,World Net Trading Pty Ltd                                                                  ,company    ,Unknown                                                               ,Unknown
6046 ,Worley Pty Ltd                                                                             ,company    ,Engineering and construction services                                 ,Engineering and Construction
6047 ,Worley Services Pty Limited                                                                ,company    ,Engineering and construction/Consulting services                      ,"Engineering, Construction, and Consulting"
6048 ,"Silver Knight Holdings, Debin Nominees and Ombulga"                                       ,company    ,                                                                      ,
6049 ,WP Brown & Partners Pty Ltd                                                                ,company    ,Unknown                                                               ,Unknown
6050 ,WPP AUNZ Limited                                                                           ,company    ,Advertising and Marketing Communications                              ,Advertising and Marketing
6051 ,Wright Developments SA Pty Ltd                                                             ,company    ,Construction/Real Estate                                              ,Construction and Real Estate
6052 ,Wrightville Operations Pty Ltd                                                             ,company    ,Unknown                                                               ,Unknown
6053 ,Wyllie Group Pty Ltd                                                                       ,company    ,Unknown                                                               ,Unknown
6054 ,Wynsix Hotel Corporation Pty Ltd                                                           ,company    ,Hospitality and tourism                                               ,Hospitality and Tourism
6055 ,Spotlight                                                                                  ,company    ,Retail                                                                ,Retail
6056 ,Xa - The - Fia Pty Ltd                                                                     ,company    ,Unknown                                                               ,Unknown
6057 ,XCB Pty Ltd (Formerly Creative Brands Pty Ltd)                                             ,company    ,Retail - Giftware                                                     ,Retail
6058 ,Xiang Rong (Australia) Investment Group Pty Ltd                                            ,company    ,Unknown                                                               ,Unknown
6059 ,Stephen Hodgkin                                                                            ,individual ,                                                                      ,
6060 ,Stephen Schlicht                                                                           ,individual ,                                                                      ,
6061 ,Stera Miriam Gutnick                                                                       ,individual ,                                                                      ,
6062 ,Stuart Morris                                                                              ,individual ,                                                                      ,
6063 ,XNG Pty Ltd                                                                                ,company    ,Unknown                                                               ,Unknown
6064 ,XYZ Investments Pty ltd                                                                    ,company    ,Unknown                                                               ,Unknown
6065 ,Yakka Pty Ltd                                                                              ,company    ,Clothing and Work wear manufacturing.                                 ,Clothing Manufacturing
6066 ,Yancoal Australia Ltd                                                                      ,company    ,Energy/Mining                                                         ,Energy and Mining
6067 ,T A and R M White                                                                          ,company    ,Unknown                                                               ,Unknown
